domain,uri,government,live,ssl,enforce_https,non_www,redirect,ip,hostname,ipv6,dnssec,cdn,google_apps,could_provider,server,cms,analytics,javascript,advertising,slash_data,slash_developer,data_dot_json,click_jacking_protection,content_security_policy,xss_protection,secure_cookies,strict_transport_security,agency,last_checked
pregunteleakaren.gov,http://www.pregunteleakaren.gov,true,true,false,false,true,www.fsis.usda.gov,199.140.114.2,befoodsafe.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:54:19 -0400
recreation.gov,https://www.recreation.gov,true,true,true,false,true,,66.193.24.151,recreation.gov,false,false,false,false,false,Apache,"","facebook_insights, google_analytics","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:54:20 -0400
reo.gov,http://reo.gov,true,true,false,false,true,,199.134.225.86,"",false,false,false,false,false,Microsoft-IIS/6.0,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:54:31 -0400
start2farm.gov,http://start2farm.gov,true,true,false,false,true,,199.136.16.189,start2farm-prod.nal.usda.gov,false,false,false,false,false,Apache/2.2.3 (CentOS),drupal,google_analytics,jquery,"",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:54:35 -0400
symbols.gov,http://symbols.gov,true,true,false,false,true,,74.123.133.83,"",false,false,false,false,false,Apache/2.2.15 (Red Hat),"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:54:39 -0400
thepeoplesgarden.gov,http://www.thepeoplesgarden.gov,true,true,false,false,true,,162.79.30.150,cens.nitc2.usda.gov,false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:54:50 -0400
usda.gov,http://www.usda.gov,true,true,false,false,true,,199.134.161.47,origin.www.usda.gov,false,false,false,false,false,IBM_HTTP_Server,"",google_analytics,"","",true,true,true,false,false,false,,false,Department of Agriculture,2014-07-07 09:54:52 -0400
usdapii.gov,http://www.usdapii.gov,true,true,false,false,true,usda.gov,199.134.161.47,origin.www.usda.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:54:53 -0400
vallescaldera.gov,https://vallescaldera.gov,true,true,true,false,true,,72.167.162.200,ip-72-167-162-200.ip.secureserver.net,false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:54:56 -0400
womenfarmerclaims.gov,https://www.womenfarmerclaims.gov,true,true,true,true,true,,64.235.28.70,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:55:00 -0400
